hobo_number,species,therm_max,percent_cover
887423,Cxq,37.7,0.2648
450746,Cxt,43.1,0
831825,Cxt,43.1,0.36758
831782,Cxt,43.1,1
831785,Cxq,37.7,0.54244
831804,Cxq,37.7,0.54188
831802,Cxq,37.7,0.96831
801658,Cxq,37.7,0
831807,Cxt,43.1,0.56628
450782,Cxt,43.1,0.27553
388454,Cxq,37.7,0
388452,Cxq,37.7,0
450784,Cxq,37.7,0.05699
388462,Cxq,37.7,0.45705
450796,Cxt,43.1,0.39844
831834,Cxq,37.7,0.851
831800,Cxt,43.1,0.45041
831778,Cxq,37.7,0.86552
388473,Cxq,37.7,0
450792,Cxq,37.7,0.69327
388465,Cxq,37.7,0.67479
831808,Cxt,43.1,0.79764
450775,Cxq,37.7,0.80348
801661,Cxq,37.7,0.68241
